song title,artist/band name,year,lyrics url
Shaking The Blues Away,Doris Day,1955,https://www.azlyrics.com/lyrics/dorisday/shakingthebluesaway.html
Mood Indigo,"Sinatra, Frank",1955,https://www.azlyrics.com/lyrics/franksinatra/moodindigo.html
All Alone,Julie London,1956,https://www.azlyrics.com/lyrics/julielondon/allalone.html
Dolly Dawn,Harry Belafonte,1956,https://www.azlyrics.com/lyrics/harrybelafonte/dollydawn.html
You're My Thrill,"Lee, Peggy",1956,https://www.azlyrics.com/lyrics/peggylee/youremythrill.html
Love For Sale,Tony Bennett,1957,https://www.azlyrics.com/lyrics/tonybennett/loveforsale.html
Pardons,Jacques Brel,1957,https://www.azlyrics.com/lyrics/jacquesbrel/pardons.html
Wait Till You See Her(CD Reissue Bonus Track),"Sinatra, Frank",1957,https://www.azlyrics.com/lyrics/franksinatra/waittillyouseeher.html
Daddy's Little Girl,Eddy Arnold,1957,https://www.azlyrics.com/lyrics/eddyarnold/daddyslittlegirl.html
When You Come To The End Of The Day,Perry Como,1958,https://www.azlyrics.com/lyrics/perrycomo/whenyoucometotheendoftheday.html
You Brought A New Kind Of Love To Me,Ella Fitzgerald,1958,https://www.azlyrics.com/lyrics/ellafitzgerald/youbroughtanewkindoflovetome.html
It's Easy To Remember,"Holiday, Billie",1958,https://www.azlyrics.com/lyrics/billieholiday/itseasytoremember.html
A Cottage For Sale,"Bennett, Tony",1958,https://www.azlyrics.com/lyrics/tonybennett/acottageforsale.html
Fascinatin' Rhythm,Tony Bennett,1959,https://www.azlyrics.com/lyrics/tonybennett/fascinatinrhythm.html
Wear My Ring Around Your Neck,"Presley, Elvis",1959,https://www.azlyrics.com/lyrics/elvispresley/wearmyringaroundyourneck.html
Did You Miss Me,"Jackson, Wanda",1960,https://www.azlyrics.com/lyrics/wandajackson/didyoumissme.html
Laisse Les Filles,"Hallyday, Johnny",1960,https://www.azlyrics.com/lyrics/johnnyhallyday/laisselesfilles.html
Reaching(Reissue Bonus Track),"Jackson, Wanda",1960,https://www.azlyrics.com/lyrics/wandajackson/reaching.html
Make Me Know It,Elvis Presley,1960,https://www.azlyrics.com/lyrics/elvispresley/makemeknowit.html
With You,"Cooke, Sam",1960,https://www.azlyrics.com/lyrics/samcooke/withyou.html
Again,Ricky Nelson,1960,https://www.azlyrics.com/lyrics/rickynelson/again.html
Ev'ry Time We Say Goodbye,"Vaughan, Sarah",1961,https://www.azlyrics.com/lyrics/sarahvaughan/evrytimewesaygoodbye.html
Evenin',Julie London,1961,https://www.azlyrics.com/lyrics/julielondon/evenin.html
Medley: One Kiss / My Romance / The Vagabond King Waltz,Peggy Lee,1961,https://www.azlyrics.com/lyrics/peggylee/medleyonekissmyromancethevagabondkingwaltz.html
High Noon,"Francis, Connie",1961,https://www.azlyrics.com/lyrics/conniefrancis/highnoon.html
