song title,artist/band name,year,lyrics url,lyrics
Shaking The Blues Away,Doris Day,1955,https://www.azlyrics.com/lyrics/dorisday/shakingthebluesaway.html,"There's an old superstition 'way down south
Everybody believes that trouble won't stay
If you shake it away
When they hold a revival way down south
Everybody with care and trouble that day
Tries to shake it away
Shaking the blues away, unhappy news away
If you are blue, it's easy to
Shake off your cares and troubles
Telling the blues to go, they may refuse to go
But as a rule, they'll go if you'll
Shake them away
Do like the voodoos do, listening to a voodoo melody
They shake their bodies so, to and fro
With every shake, a lucky break
Proving that there's a way to chase your cares away
If you would lose your weary blues
Shake 'em away"
Mood Indigo,"Sinatra, Frank",1955,https://www.azlyrics.com/lyrics/franksinatra/moodindigo.html,"You ain't been blue; no, no, no
You ain't been blue
Till you've had that mood indigo
That feelin' goes stealin' down to my shoes
While I sit and sigh, ""Go 'long blues""
Always get that mood indigo
Since my baby said goodbye
In the evenin' when lights are low
I'm so lonely I could cry
'Cause there's nobody who cares about me
I'm just a soul who's
Bluer than blue can be
When I get that mood indigo
I could lay me down and die"
All Alone,Julie London,1956,https://www.azlyrics.com/lyrics/julielondon/allalone.html,"All alone, I'm so all alone
There is no one else but you
All alone by the telephone
Waiting for a ring-a-ding-a-ling
I'm all alone every evening
All alone, feeling blue
Wondering where you are
And how you are
And if you are all alone too"
Dolly Dawn,Harry Belafonte,1956,https://www.azlyrics.com/lyrics/harrybelafonte/dollydawn.html,"Look, look at Dolly,
Pretty, pretty, pretty, pretty, pretty, pretty dolly
Oh here she come, here she come, here she come
Pretty, pretty Dolly
When Dolly hear them sound the drum
Up she jump she holler: ""Here I Come""
Cause she gonna dance, she gonna sing
She gonna cause the rafters to ring
Cause she gonna dance, she gonna sing
She gonna cause the rafters to ring
Don't stop her when she hear the call
Dolly Dawn goin' to have herself a ball
When Dolly start to shake an shout
Clear the floor cause she really move about
When Dolly go into a turn
All men jump and their eyes begin to burn
Soon Dolly go into a fall
Turn an' spin then she starts to climb the wall
Soon Dolly go into a fall
Turn an' spin and then she climb the wall"
You're My Thrill,"Lee, Peggy",1956,https://www.azlyrics.com/lyrics/peggylee/youremythrill.html,"You're my thrill, you do something to me
You send chills right through me when I look at you
'Cause you're my thrill, you're my thrill
How my pulse increases, I just go to pieces
When I look at you 'cause you're my thrill
Mmm, nothing seems to matter
Mmm, here's my heart on a silver platter
Where's my will? Why this strange desire?
That keeps mounting higher when I look at you
I can't keep still, you're my thrill
Where's my will? Why this strange desire?
That keeps mounting higher when I look at you
I can't keep still, you're my thrill"
Love For Sale,Tony Bennett,1957,https://www.azlyrics.com/lyrics/tonybennett/loveforsale.html,"When the only sound in the empty street
Is the heavy tread of the heavy feet
That belong to a lonesome cop
She opens shop
When the moon so long has been gazing down
On the wayward ways of this wayward town
Then her smile becomes a smirk
She goes to work
Love for sale
Appetizing, young love for sale
Love that’s fresh and still unspoiled
Love that’s only slightly soiled
Love for sale
Who will buy?
Who would like to sample her supply?
Who’s prepared to pay the price
For a trip to paradise?
Love for sale
Let the poets pipe of love
In their childish way
She knows every type of love
Better far than they
If you want the thrill of love
She’s been through the mill of love.
Old love. New love.
Every love, but true love.
Love for sale.
Appetizing young love for sale.
If you want to buy her wares,
Follow her and climb the stairs.
Love for sale.
Love for sale"
Pardons,Jacques Brel,1957,https://www.azlyrics.com/lyrics/jacquesbrel/pardons.html,"Pardon pour cette fille
Que l'on a fait pleurer
Pardon pour ce regard
Que l'on quitte en riant
Pardon pour ce visage
Qu'une larme a changé
Pardon pour ces maisons
Où quelqu'un nous attend
Et puis pour tous ces mots
Que l'on dit mots d'amour
Et que nous employons
En guise de monnaie
Et pour tous les serments
Qui meurent au petit jour
Pardon pour les jamais
Pardon pour les toujours
Pardon pour pour les hameaux
Qui ne chantent jamais
Pardon pour les villages
Que l'on a oubliés
Pardon pour les cités
Où nul ne se connaît
Pardon pour les pays
Faits de sous-officiers
Pardon d'être de ceux
Qui se foutent de tout
Et de ne pas avoir
Chaque jour essayé
Et puis pardon encore
Et puis pardon surtout
De ne jamais savoir
Qui doit nous pardonner"
Wait Till You See Her(CD Reissue Bonus Track),"Sinatra, Frank",1957,https://www.azlyrics.com/lyrics/franksinatra/waittillyouseeher.html,"Wait till you see her, see how she looks, wait till you hear her laugh,
Painters of painting, drivers of gloom never could tell the height,
Wait till you feel the warmth of her glance, pensive and sweet and wise,
All of it lovely, all of it thrilling, I'll never be willing to free her,
When you see her, you won't believe your eyes."
Daddy's Little Girl,Eddy Arnold,1957,https://www.azlyrics.com/lyrics/eddyarnold/daddyslittlegirl.html,"You're the end of the of the rainbow my pot of gold
You're daddy's little girl to hand and hold
A precious gem is what you are
Your mommy's bright and shining star
You're the spirit of Christmas my star on the tree
You're the Easter bunny to mommy and me
You're sugar, you're spice you're ev'rything nice
And you're daddy's little girl
Like angels that sing a heavenly thing
And you're daddy's little girl..."
When You Come To The End Of The Day,Perry Como,1958,https://www.azlyrics.com/lyrics/perrycomo/whenyoucometotheendoftheday.html,"When you come to the end of the day, 
And the night calls your worries away, 
Do you ever watch the setting sun, 
And dream of things that you might have done? 
Do you turn from your work with a smile? 
Do you feel that it's all worth the while? 
As you dream the twilight hours away, 
When you come to the end of the day!"
